id,name,cite,oeis,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2,#2 BCI-algebras,wiki:2:bci:algebras,,,2,5,22,118,974,10834,162555,,,,,,,,,,,,,,,,,,,,
3,#3 BCK-algebras,wiki:3:bck:algebras,,,1,3,14,88,775,9170,143866,,,,,,,,,,,,,,,,,,,,
4,#4 BCK-join-semilattice,wiki:4:bck:join:semilattices,,,1,3,14,87,745,8282,,,,,,,,,,,,,,,,,,,,,
5,#5 BCK-lattices,wiki:5:bck:lattices,,,1,2,8,38,265,2391,27485,,,,,,,,,,,,,,,,,,,,
6,#6 BCK-meet-semilattices,wiki:6:bck:meet:lattices,,,1,2,8,38,265,2391,,,,,,,,,,,,,,,,,,,,,
7,#7 Bilattices,wiki:7:bilattices,,,0,0,1,3,32,284,3839,62735,,,,,,,,,,,,,,,,,,,
8,#8 BL-algebras,wiki:8:bci:algebras,,,6,34,606,854822,,,,,,,,,,,,,,,,,,,,,,,
10,#10 Boolean monoids,wiki:10:boolean:monoids,,,1,0,5,0,0,0,83,0,0,0,0,0,0,0,242547,,,,,,,,,,,,
14,#14 Brouwerian algebras,wiki:14:brouwerian:algebras,,,4,8,58,8806,,,,,,,,,,,,,,,,,,,,,,,
17,#17 Clifford algebras,wiki:17:clifford:algebras,,,2,5,16,51,202,879,4454,25322,,,,,,,,,,,,,,,,,,,
18,#18 Commutative BCK-algebras,wiki:18:commutative:bck:algebras,,,1,2,5,11,28,72,192,515,1426,,,,,,,,,,,,,,,,,,
20,#20 Commutative lattice-ordered monoids,wiki:20:commutative:lattice:ordered:monoids,,,2,6,31,199,1598,15515,181538,,,,,,,,,,,,,,,,,,,,
21,#21 Commutative lattice-ordered rings,wiki:21:commutative:lattice:ordered:rings,,,14,51,1794,4655,,,,,,,,,,,,,,,,,,,,,,,
22,#22 Commutative lattice-ordered semigroups,wiki:22:commutative:lattice:ordered:semigroups,,,4,20,149,1427,1337698,,,,,,,,,,,,,,,,,,,,,,
23,#23 Commutative ordered monoids,wiki:23:commutative:ordered:monoids,,,2,6,22,92,426,2146,11634,67472,,,,,,,,,,,,,,,,,,,
25,#25 Commutative partially ordered monoids,wiki:25:commutative:partially:ordered:monoids,,,4,27,301,4887,113358,3763121,,,,,,,,,,,,,,,,,,,,,
26,#26 Commutative partially ordered semigroups,wiki:26:commutative:partially:ordered:semigroups,,,7,83,1468,37248,,,,,,,,,,,,,,,,,,,,,,,
27,#27 Commutative regular rings,wiki:27:commutative:regular:rings,,,2,3,13,5,72,7,900,384,800,11,169452,13,,,,,,,,,,,,,,,
28,#28 Commutative residuated partially ordered monoids,wiki:28:commutative:residuated:partially:ordered:monoids,,,2,5,24,131,1001,9248,,,,,,,,,,,,,,,,,,,,,
30,#30 Complemented lattices,wiki:30:complemented:lattices,,,1,0,1,4,41,600,13941,,,,,,,,,,,,,,,,,,,,
31,#31 Complemented modular lattices,wiki:31:complemented:modular:lattices,,,1,0,1,2,6,13,41,100,303,797,,,,,,,,,,,,,,,,,
33,#33 De Morgan monoids,wiki:33:de:morgan:monoids,,,18,882,174062,,,,,,,,,,,,,,,,,,,,,,,,
34,#34 Dense linear orders,wiki:34:dense:linear:orders,,,4,324,1179648,,,,,,,,,,,,,,,,,,,,,,,,
35,#35 Directoids,wiki:35:directoids,,,1,2,7,61,2297,517919,,,,,,,,,,,,,,,,,,,,,
36,#36 Distributive lattice ordered semigroups,wiki:36:distributive:lattice:ordered:semigroups,,,6,44,479,5492,,,,,,,,,,,,,,,,,,,,,,,
37,#37 Division rings,wiki:37:division:rings,,,2,3,3,5,0,7,4,6,0,11,0,13,0,0,,,,,,,,,,,,,
43,#43 Generalized Boolean algebras,wiki:43:generalized:boolean:algebras,,,4,0,12,0,60,0,1171417,0,,,,,,,,,,,,,,,,,,,
44,#44 Hilbert algebras,wiki:44:hilbert:algebras,,,1,2,6,21,95,550,4036,37603,,,,,,,,,,,,,,,,,,,
45,#45 Hoops,wiki:45:hoops,,,1,2,5,10,23,49,111,244,545,1203,2697,5974,,,,,,,,,,,,,,,
53,#53 Lattice-ordered rings,wiki:53:lattice:ordered:rings,,,14,51,2238,4655,492120,,,,,,,,,,,,,,,,,,,,,,
54,#54 Lattice-ordered semigroups,wiki:54:lattice:ordered:semigroups,,,6,44,479,6738,117028,,,,,,,,,,,,,,,,,,,,,,
55,#55 Lineales,wiki:55:lineales,Commutative Residuated Partially Ordered Monoids,,2,5,24,131,1001,9248,,,,,,,,,,,,,,,,,,,,,
56,#56 Linear Heyting algebras,wiki:56:goedel:algebras,Goedel Algebras,,8,302,835006,,,,,,,,,,,,,,,,,,,,,,,,
58,#58 M-zeroids,wiki:58:m:zeroid,,,2,3,7,21,75,315,1537,8583,,,,,,,,,,,,,,,,,,,
61,#61 Modular ortholattices,wiki:61:modular:ortholattices,,,6,0,306,44274,,,,,,,,,,,,,,,,,,,,,,,
62,#62 Monadic algebras,wiki:62:monadic:algebras,,,8,0,10432,0,0,0,,,,,,,,,,,,,,,,,,,,,
64,#64 Moufang quasigroups,wiki:64:moufang:quasigroups,,,1,5,29,1351,,,,,,,,,,,,,,,,,,,,,,,
65,#65 Multiplicative lattices,wiki:65:multiplicative:lattices,,,6,175,25872,,,,,,,,,,,,,,,,,,,,,,,,
66,#66 Multiplicative semilattices,wiki:66:multiplicative:semilattices,,,6,220,32234,,,,,,,,,,,,,,,,,,,,,,,,
68,#68 Near-rings,wiki:68:near:rings,,,3,5,35,10,99,24,3856,486,535,139,54694,454,,,,,,,,,,,,,,,
69,#69 Near-rings with identity,wiki:69:near:rings:with:identity,,,1,1,6,1,1,1,53,11,1,1,11,1,1,1,4274,1,26,1,,,,,,,,,
70,#70 Neardistributive lattices,wiki:70:neardistributive:lattices,,,1,1,2,4,9,22,60,174,532,1700,,,,,,,,,,,,,,,,,
71,#71 Normal bands,wiki:71:normal:bands,,,3,8,30,114,536,2698,15441,96868,,,,,,,,,,,,,,,,,,,
72,#72 Normal valued lattice-ordered groups,wiki:72:normal:valued:lattice:ordered:groups,,,2,3,30,155,5528,,,,,,,,,,,,,,,,,,,,,,
